Recipe_Name,Week_Number,Margin_W_Pct
Banana Bread,1,0.9001875
Banana Bread,2,0.8985441875
Banana Bread,3,0.90100346875
Banana Bread,4,0.89784803125
Banana Bread,5,0.89582121875
Banana Bread,6,0.89508225
Banana Bread,7,0.89436253125
Banana Bread,8,0.8941525
Banana Bread,9,0.89614921875
Banana Bread,10,0.8972373124999999
Banana Bread,11,0.897364625
Banana Bread,12,0.9010854687500001
Banana Bread,13,0.90179015625
Banana Bread,14,0.901862125
Banana Bread,15,0.90191878125
Banana Bread,16,0.901956625
Banana Bread,17,0.90252578125
Banana Bread,18,0.89867690625
Banana Bread,19,0.89920984375
Banana Bread,20,0.89910496875
Banana Bread,21,0.89470965625
Banana Bread,22,0.894999875
Banana Bread,23,0.8974690625
Banana Bread,24,0.898585875
Banana Bread,25,0.8976373125
Banana Bread,26,0.89724871875
Banana Bread,27,0.89642828125
Banana Bread,28,0.8952851562499999
Banana Bread,29,0.894814
Banana Bread,30,0.89271365625
Banana Bread,31,0.89186440625
Blueberry Muffin,1,0.9007777777777778
Blueberry Muffin,2,0.8995073555555556
Blueberry Muffin,3,0.8981395555555556
Blueberry Muffin,4,0.8987189333333333
Blueberry Muffin,5,0.8963365555555556
Blueberry Muffin,6,0.8990754666666666
Blueberry Muffin,7,0.9032008444444445
Blueberry Muffin,8,0.9022522
Blueberry Muffin,9,0.9029648444444445
Blueberry Muffin,10,0.9035455111111111
Blueberry Muffin,11,0.9025403777777777
Blueberry Muffin,12,0.9047022666666666
Blueberry Muffin,13,0.9035065555555556
Blueberry Muffin,14,0.9042038888888889
Blueberry Muffin,15,0.9048915111111111
Blueberry Muffin,16,0.9055669777777777
Blueberry Muffin,17,0.9051829777777779
Blueberry Muffin,18,0.9053129777777777
Blueberry Muffin,19,0.9059533999999999
Blueberry Muffin,20,0.9089317555555555
Blueberry Muffin,21,0.9082050444444445
Blueberry Muffin,22,0.9081302888888889
Blueberry Muffin,23,0.9110839555555555
Blueberry Muffin,24,0.909478
Blueberry Muffin,25,0.9100189333333333
Blueberry Muffin,26,0.9089535111111111
Blueberry Muffin,27,0.9090480222222223
Blueberry Muffin,28,0.9112041333333333
Blueberry Muffin,29,0.909104488888889
Blueberry Muffin,30,0.907676088888889
Blueberry Muffin,31,0.9075074666666667
Cappuccino,1,0.8630588235294118
Cappuccino,2,0.8602381176470588
Cappuccino,3,0.8599317647058823
Cappuccino,4,0.8606404705882353
Cappuccino,5,0.8602451764705883
Cappuccino,6,0.8603609411764706
Cappuccino,7,0.8588560000000001
Cappuccino,8,0.8558814117647059
Cappuccino,9,0.8533374117647059
Cappuccino,10,0.8527670588235294
Cappuccino,11,0.8501129411764706
Cappuccino,12,0.8491176470588235
Cappuccino,13,0.8503868235294118
Cappuccino,14,0.8492856470588235
Cappuccino,15,0.8481802352941177
Cappuccino,16,0.8470705882352941
Cappuccino,17,0.8481759999999999
Cappuccino,18,0.8475011764705882
Cappuccino,19,0.8447651764705882
Cappuccino,20,0.8445435294117648
Cappuccino,21,0.8443261176470588
Cappuccino,22,0.8418357647058824
Cappuccino,23,0.8424978823529412
Cappuccino,24,0.8427548235294118
